Species abbreviation;Species scientific name
A.dio;Antennaria dioica
A.fle;Avenella flexuosa
A mon;Arnica montana
A.odo;Anthoxantum odoratum
B.lun;Botrychium lunaria
B.viv;Bistorta vivipara
C.arv;Cerastium arvense
C.rho;Campanula rhomboidalis
C.sch;Campanula scheuchzeri
C.sem;Carex sempervirens
C.vil;Chaerophyllum villarsii
E.min;Euphrasia minima
F.lae;Festuca laevigata
F.nig;Festuca nigrescens
F.vio;Festuca violacea
G.aca;Gentiana acaulis
G.mon;Geum montanum
G.pum;Galium pumilum
G.syl;Geranium sylvaticum
H.alp;Homogyne alpina
H.num;Helianthemum nummularium
J.com;Juniperus communis
L.cor;Lotus corniculatus
L.his;Leontodon hispidus
M.syl;Melampyrum sylvaticum
M.alp;Myosotis alpestris
N.str;Nardus stricta
P.abi;Picea abies
P.alp;Poa alpina
P.aur;Potentilla aurea
P.bet;Phyteuma betonicifolium
P.cra;Potentilla crantzii
P.rha;Phleum rhaeticum
P.gra;Potentilla grandiflora
Pl.alp;Plantago alpina
S.alp;Soldanella alpina
S.cae;Sesleria caerula
S.pyr;Scorzoneroides pyrenaica
T.alp;Trifolium alpinum
T.pra;Trifolium pratense
T.pul;Thymus pulegioides
V.cal;Viola calcarata
V.myr;Vaccinium myrtillus
V.vit;Vaccinium vitis-ideae