year,site,side,zone,obs_unit_id
1999,ANACAPA_EAST_ISLE,CEN,INNER,1
1999,ANACAPA_EAST_ISLE,CEN,MID,2
1999,ANACAPA_EAST_ISLE,CEN,OUTER,3
1999,ANACAPA_EAST_ISLE,E,INNER,4
1999,ANACAPA_EAST_ISLE,E,MID,5
1999,ANACAPA_EAST_ISLE,E,OUTER,6
1999,ANACAPA_EAST_ISLE,W,INNER,7
1999,ANACAPA_EAST_ISLE,W,OUTER,8
2000,ANACAPA_EAST_ISLE,CEN,INNER,9
2000,ANACAPA_EAST_ISLE,CEN,OUTER,10
2000,ANACAPA_EAST_ISLE,E,INNER,11
2000,ANACAPA_EAST_ISLE,E,OUTER,13
2000,ANACAPA_EAST_ISLE,W,INNER,14
2000,ANACAPA_EAST_ISLE,W,OUTER,15
2001,ANACAPA_EAST_ISLE,CEN,OUTER,17
2001,ANACAPA_EAST_ISLE,E,INNER,18
2001,ANACAPA_EAST_ISLE,E,OUTER,19
2001,ANACAPA_EAST_ISLE,W,INNER,20
2001,ANACAPA_EAST_ISLE,W,OUTER,21
2002,ANACAPA_EAST_ISLE,CEN,INNER,22
2002,ANACAPA_EAST_ISLE,CEN,OUTER,23
2002,ANACAPA_EAST_ISLE,E,INNER,24
2002,ANACAPA_EAST_ISLE,E,OUTER,25
2002,ANACAPA_EAST_ISLE,W,INNER,26
2002,ANACAPA_EAST_ISLE,W,OUTER,27
2003,ANACAPA_EAST_ISLE,CEN,INNER,28
2003,ANACAPA_EAST_ISLE,CEN,OUTER,29
2003,ANACAPA_EAST_ISLE,E,INNER,30
2003,ANACAPA_EAST_ISLE,E,OUTER,31
2003,ANACAPA_EAST_ISLE,W,INNER,32
2003,ANACAPA_EAST_ISLE,W,OUTER,33
2003,ANACAPA_MIDDLE_ISLE,CEN,OUTER,35
2003,ANACAPA_MIDDLE_ISLE,E,INNER,36
2003,ANACAPA_MIDDLE_ISLE,E,OUTER,37
2003,ANACAPA_MIDDLE_ISLE,W,INNER,38
2003,ANACAPA_MIDDLE_ISLE,W,OUTER,39
2004,ANACAPA_EAST_ISLE,CEN,INNER,40
2004,ANACAPA_EAST_ISLE,CEN,OUTER,41
2004,ANACAPA_EAST_ISLE,E,INNER,42
2004,ANACAPA_EAST_ISLE,E,OUTER,43
2004,ANACAPA_EAST_ISLE,W,INNER,44
2004,ANACAPA_EAST_ISLE,W,OUTER,45
2004,ANACAPA_MIDDLE_ISLE,CEN,OUTER,46
2004,ANACAPA_MIDDLE_ISLE,E,INNER,47
2004,ANACAPA_MIDDLE_ISLE,E,OUTER,48
2004,ANACAPA_MIDDLE_ISLE,W,INNER,49
2004,ANACAPA_MIDDLE_ISLE,W,OUTER,50
2005,ANACAPA_EAST_ISLE,CEN,INNER,51
2005,ANACAPA_EAST_ISLE,CEN,OUTER,52
2005,ANACAPA_EAST_ISLE,E,INNER,53
2005,ANACAPA_EAST_ISLE,E,OUTER,54
2005,ANACAPA_EAST_ISLE,W,INNER,55
2005,ANACAPA_EAST_ISLE,W,OUTER,56
2005,ANACAPA_MIDDLE_ISLE,CEN,OUTER,57
2005,ANACAPA_MIDDLE_ISLE,E,INNER,58
2005,ANACAPA_MIDDLE_ISLE,E,OUTER,59
2005,ANACAPA_MIDDLE_ISLE,W,INNER,60
2005,ANACAPA_MIDDLE_ISLE,W,OUTER,61
2006,ANACAPA_EAST_ISLE,CEN,INNER,62
2006,ANACAPA_EAST_ISLE,CEN,OUTER,63
2006,ANACAPA_EAST_ISLE,E,INNER,64
2006,ANACAPA_EAST_ISLE,E,OUTER,65
2006,ANACAPA_EAST_ISLE,W,INNER,66
2006,ANACAPA_EAST_ISLE,W,OUTER,67
2006,ANACAPA_MIDDLE_ISLE,CEN,INNER,68
2006,ANACAPA_MIDDLE_ISLE,CEN,OUTER,69
2006,ANACAPA_MIDDLE_ISLE,E,INNER,70
2006,ANACAPA_MIDDLE_ISLE,E,OUTER,71
2006,ANACAPA_MIDDLE_ISLE,W,INNER,72
2006,ANACAPA_MIDDLE_ISLE,W,OUTER,73
2007,ANACAPA_EAST_ISLE,CEN,INNER,74
2007,ANACAPA_EAST_ISLE,CEN,OUTER,75
2007,ANACAPA_EAST_ISLE,E,INNER,76
2007,ANACAPA_EAST_ISLE,E,OUTER,77
2007,ANACAPA_EAST_ISLE,W,INNER,78
2007,ANACAPA_EAST_ISLE,W,OUTER,79
2007,ANACAPA_MIDDLE_ISLE,CEN,INNER,80
2007,ANACAPA_MIDDLE_ISLE,CEN,OUTER,81
2007,ANACAPA_MIDDLE_ISLE,E,INNER,82
2007,ANACAPA_MIDDLE_ISLE,E,OUTER,83
2007,ANACAPA_MIDDLE_ISLE,W,INNER,84
2007,ANACAPA_MIDDLE_ISLE,W,OUTER,85
2008,ANACAPA_EAST_ISLE,CEN,INNER,86
2008,ANACAPA_EAST_ISLE,CEN,OUTER,87
2008,ANACAPA_EAST_ISLE,E,INNER,88
2008,ANACAPA_EAST_ISLE,E,OUTER,89
2008,ANACAPA_EAST_ISLE,W,INNER,90
2008,ANACAPA_EAST_ISLE,W,OUTER,91
2008,ANACAPA_MIDDLE_ISLE,CEN,INNER,92
2008,ANACAPA_MIDDLE_ISLE,CEN,OUTER,93
2008,ANACAPA_MIDDLE_ISLE,E,INNER,94
2008,ANACAPA_MIDDLE_ISLE,E,OUTER,95
2008,ANACAPA_MIDDLE_ISLE,W,INNER,96
2008,ANACAPA_MIDDLE_ISLE,W,OUTER,97
2009,ANACAPA_EAST_ISLE,CEN,INNER,98
2009,ANACAPA_EAST_ISLE,CEN,OUTER,99
2009,ANACAPA_EAST_ISLE,E,INNER,100
2009,ANACAPA_EAST_ISLE,E,OUTER,101
2009,ANACAPA_EAST_ISLE,W,INNER,102
2009,ANACAPA_EAST_ISLE,W,OUTER,103
2009,ANACAPA_MIDDLE_ISLE,CEN,INNER,104
2009,ANACAPA_MIDDLE_ISLE,CEN,OUTER,105
2009,ANACAPA_MIDDLE_ISLE,E,INNER,106
2009,ANACAPA_MIDDLE_ISLE,E,OUTER,107
2009,ANACAPA_MIDDLE_ISLE,W,INNER,108
2009,ANACAPA_MIDDLE_ISLE,W,OUTER,109
2010,ANACAPA_EAST_ISLE,CEN,INNER,110
2010,ANACAPA_EAST_ISLE,CEN,OUTER,111
2010,ANACAPA_EAST_ISLE,E,INNER,112
2010,ANACAPA_EAST_ISLE,E,OUTER,113
2010,ANACAPA_EAST_ISLE,W,INNER,114
2010,ANACAPA_EAST_ISLE,W,OUTER,115
2010,ANACAPA_MIDDLE_ISLE,CEN,INNER,116
2010,ANACAPA_MIDDLE_ISLE,CEN,OUTER,117
2010,ANACAPA_MIDDLE_ISLE,E,INNER,118
2010,ANACAPA_MIDDLE_ISLE,E,OUTER,119
2010,ANACAPA_MIDDLE_ISLE,W,INNER,120
2010,ANACAPA_MIDDLE_ISLE,W,OUTER,121
2011,ANACAPA_EAST_ISLE,CEN,INNER,122
2011,ANACAPA_EAST_ISLE,CEN,OUTER,123
2011,ANACAPA_EAST_ISLE,E,INNER,124
2011,ANACAPA_EAST_ISLE,E,OUTER,125
2011,ANACAPA_EAST_ISLE,W,INNER,126
2011,ANACAPA_EAST_ISLE,W,OUTER,127
2011,ANACAPA_MIDDLE_ISLE,CEN,INNER,128
2011,ANACAPA_MIDDLE_ISLE,CEN,OUTER,129
2011,ANACAPA_MIDDLE_ISLE,E,INNER,130
2011,ANACAPA_MIDDLE_ISLE,E,OUTER,131
2011,ANACAPA_MIDDLE_ISLE,W,INNER,132
2011,ANACAPA_MIDDLE_ISLE,W,OUTER,133
2012,ANACAPA_EAST_ISLE,CEN,INNER,134
2012,ANACAPA_EAST_ISLE,CEN,OUTER,135
2012,ANACAPA_EAST_ISLE,E,INNER,136
2012,ANACAPA_EAST_ISLE,E,OUTER,137
2012,ANACAPA_EAST_ISLE,W,INNER,138
2012,ANACAPA_EAST_ISLE,W,OUTER,139
2012,ANACAPA_MIDDLE_ISLE,CEN,INNER,140
2012,ANACAPA_MIDDLE_ISLE,CEN,OUTER,141
2012,ANACAPA_MIDDLE_ISLE,E,INNER,142
2012,ANACAPA_MIDDLE_ISLE,E,OUTER,143
2012,ANACAPA_MIDDLE_ISLE,W,INNER,144
2012,ANACAPA_MIDDLE_ISLE,W,OUTER,145
